Invoice Number,Invoice Date,Amount,Status,Recurring,First Invoice,Amount Due,Payments,Currency,Customer Billing Country
89665,26-Sep-2022 18:11,2900,Payment Due,TRUE,FALSE,2900,0,INR,
89664,26-Sep-2022 18:11,49,Paid,TRUE,FALSE,0,49,USD,
89663,26-Sep-2022 18:10,20,Paid,FALSE,FALSE,0,20,USD,
89662,26-Sep-2022 18:06,28,Voided,FALSE,FALSE,28,0,USD,
89661,26-Sep-2022 18:06,28,Voided,FALSE,FALSE,28,0,USD,
89660,26-Sep-2022 18:05,30,Paid,FALSE,FALSE,0,30,USD,
89659,26-Sep-2022 18:05,30,Voided,FALSE,FALSE,30,0,USD,
89658,26-Sep-2022 18:04,27,Voided,FALSE,FALSE,27,0,USD,
89657,26-Sep-2022 18:04,30,Paid,FALSE,FALSE,0,30,USD,
89656,26-Sep-2022 18:04,27,Voided,FALSE,FALSE,27,0,USD,
89655,26-Sep-2022 18:02,27,Paid,FALSE,FALSE,0,27,USD,
89654,26-Sep-2022 17:57,49,Paid,TRUE,TRUE,0,49,USD,
89653,26-Sep-2022 17:54,49,Paid,TRUE,TRUE,0,49,USD,
89652,26-Sep-2022 17:52,50,Paid,FALSE,FALSE,0,50,USD,
89651,26-Sep-2022 17:50,10,Paid,FALSE,FALSE,0,10,USD,
89650,26-Sep-2022 17:50,686,Payment Due,TRUE,FALSE,686,0,USD,
89649,26-Sep-2022 17:47,10,Voided,FALSE,FALSE,10,0,USD,
89648,26-Sep-2022 17:47,500,Paid,FALSE,FALSE,0,500,USD,
89647,26-Sep-2022 17:47,2900,Paid,TRUE,FALSE,0,2900,INR,
89646,26-Sep-2022 17:46,500,Voided,FALSE,FALSE,500,0,USD,
89645,26-Sep-2022 17:44,5800,Paid,TRUE,TRUE,0,5800,INR,
89644,26-Sep-2022 17:40,100,Paid,FALSE,FALSE,0,100,USD,
89643,26-Sep-2022 17:39,10,Paid,FALSE,FALSE,0,10,USD,
89642,26-Sep-2022 17:38,49,Paid,TRUE,TRUE,0,49,USD,
89641,26-Sep-2022 17:37,150,Paid,FALSE,FALSE,0,150,USD,
89640,26-Sep-2022 17:29,50,Paid,FALSE,FALSE,0,50,USD,
89639,26-Sep-2022 17:29,38800,Payment Due,TRUE,FALSE,38800,0,INR,
89638,26-Sep-2022 17:27,0,Paid,TRUE,TRUE,0,0,USD,
89637,26-Sep-2022 17:26,80,Voided,FALSE,FALSE,80,0,USD,
89636,26-Sep-2022 17:26,25,Paid,FALSE,FALSE,0,25,USD,IN
89635,26-Sep-2022 17:25,0,Paid,TRUE,TRUE,0,0,USD,
89634,26-Sep-2022 17:25,80,Voided,FALSE,FALSE,80,0,USD,
89633,26-Sep-2022 17:25,31.36,Paid,TRUE,TRUE,0,31.36,USD,
89632,26-Sep-2022 17:25,50,Voided,FALSE,FALSE,50,0,USD,
89631,26-Sep-2022 17:22,0,Paid,TRUE,TRUE,0,0,USD,
89630,26-Sep-2022 17:22,2900,Paid,TRUE,FALSE,0,2900,INR,
89629,26-Sep-2022 17:20,0,Paid,TRUE,TRUE,0,0,USD,
89628,26-Sep-2022 17:18,2900,Payment Due,TRUE,FALSE,2900,0,INR,
89627,26-Sep-2022 17:17,0,Paid,TRUE,TRUE,0,0,USD,
89626,26-Sep-2022 17:17,2900,Payment Due,TRUE,FALSE,2900,0,INR,
89624,26-Sep-2022 17:16,2900,Payment Due,TRUE,FALSE,2900,0,INR,
89625,26-Sep-2022 17:16,49,Paid,TRUE,FALSE,0,49,USD,
89623,26-Sep-2022 17:16,200,Paid,FALSE,FALSE,0,200,USD,
